"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"968","Pentax 645Z","652","Active","Yes","Battery Pack","Large SLR","No",NA,NA,NA,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",1037000,3.2,53,"RAW + TIFF","1550","USB 3.0 (5 GBit/sec)",3,"Yes",0.8,"Yes","No","Optional","Mono",98,39,0.62,NA,"Stereo",NA,NA,43,NA,"No","Yes",156,117,123,2244996,"No","No","No","Yes","No",22350
"969","Pentax K-3","838","Active","Yes","Battery Pack","Mid-size SLR","Yes","13","No",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1037000,3.2,25,"RAW","800","USB 3.0 (5 GBit/sec)",8.3,"Yes",1.5,"Yes","No","Optional","Mono",100,39,0.95,NA,"Mono",NA,NA,83,"Optional",NA,NA,131,100,77,1008700,"No","No","Yes","No","No",19320
"970","Pentax K-50","770","Active","Yes","Battery Pack","Compact SLR","Yes","12","No",NA,NA,"Yes","Yes","No","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",921000,3,17,"RAW","650","USB 2.0 (480 Mbit/sec)",6,"Yes",1.5,"Yes","Yes","Optional","Mono",100,18,0.92,NA,"Mono",NA,NA,40,"Eye-Fi Connected",NA,NA,130,97,71,895310,"No","No","Yes","No","No",13915
"971","Pentax Q7","770","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","4.9",NA,NA,NA,NA,"Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,NA,460000,3,13,"RAW","200","USB 2.0 (480 Mbit/sec)",5,"Yes",4.7,"Yes","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,26,"Eye-Fi Connected",NA,NA,102,58,34,201144,"Yes","Yes","Yes","Yes","No",9100
"972","Pentax K-500","369","Active","Yes","AA","Compact SLR","Yes","12","No",NA,NA,"No","Yes","No","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",921000,3,17,"RAW","646","USB 2.0 (480 Mbit/sec)",6,"Yes",1.5,"Yes","Yes","Optional","Mono",100,18,0.92,NA,"Mono",NA,NA,84,"Eye-Fi Connected",NA,NA,130,97,71,895310,"No","No","Yes","No","No",13915
"973","Pentax Efina","778","Active","No","Battery Pack","Ultracompact","Yes","4.1","Yes",32,NA,"No","No","No","Digital only","Yes","3.5","6.3","2.8",5,NA,230000,2.5,NA,"Unknown","91","USB 2.0 (480 Mbit/sec)",NA,"No",NA,"No","Yes","None","Mono",NA,NA,NA,NA,"Mono",NA,NA,8,NA,NA,NA,87,54,21,98658,"No","Yes","Yes","Yes","No",11330
"974","Pentax WG-3 GPS","260","Active","No","Battery Pack","Compact","Yes","3.4","Yes",70,NA,"Yes","No","Yes","Sensor-shift","Yes","2","4.9","2.9",4,"Yes",460000,3,17,"No","238","USB 2.0 (480 Mbit/sec)",NA,"Yes",NA,"No","Yes","BuiltIn","Stereo",NA,4,NA,NA,"Mono",NA,NA,22,"Eye-Fi Connected",NA,NA,125,64,33,264000,"Yes","Yes","No","Yes","No",13899
"975","Pentax WG-3","260","Active","No","Battery Pack","Compact","Yes","3.4","Yes",70,NA,"Yes","No","Yes","Sensor-shift","Yes","2","4.9","2.9",4,"Yes",460000,3,17,"No","230","USB 2.0 (480 Mbit/sec)",NA,"Yes",NA,"No","Yes","None","Mono",NA,4,NA,NA,"Stereo",NA,NA,22,"Eye-Fi Connected",NA,NA,124,64,33,261888,"Yes","Yes","No","Yes","No",13899
"977","Pentax MX-1","296","Active","Yes","Battery Pack","Compact","Yes","12","Yes",75.3,NA,"No","No","Yes","Sensor-shift","Yes","1.8","2.5","0.7",4,NA,920000,3,13,"RAW","391","USB 2.0 (480 Mbit/sec)",1,"Yes",NA,"Yes","Yes","None","Stereo",NA,7,NA,NA,"Mono",NA,NA,4,"Eye-Fi Connected",NA,NA,122,61,51,379542,"No","Yes","Yes","Yes","No",9100
"978","Pentax K-5 II","567","Active","Yes","Battery Pack","Mid-size SLR","Yes","13","No",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",921000,3,17,"RAW","760","USB 2.0 (480 Mbit/sec)",7,"Yes",1.5,"Yes","No","Optional","Mono",100,18,0.92,NA,"Mono","51200","80",85,NA,NA,NA,131,97,73,927611,"No","No","Yes","No","No",13915
"979","Pentax Q10","567","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","7","No",0,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,NA,460000,3,13,"RAW","200","USB 2.0 (480 Mbit/sec)",5,"Yes",5.53,"Yes","Yes","None","Mono",NA,7,NA,NA,"Mono",NA,NA,21,NA,NA,NA,102,58,34,201144,"Yes","Yes","Yes","Yes","No",9100
"980","Pentax K-5 IIs","567","Active","Yes","Battery Pack","Mid-size SLR","Yes","13","No",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",921000,3,17,"RAW","760","USB 2.0 (480 Mbit/sec)",7,"Yes",1.5,"Yes","No","Optional","Mono",100,18,0.92,NA,"Mono","51200","80",85,NA,NA,NA,131,97,73,927611,"No","No","Yes","No","No",13915
